Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Spur route,Near McConnell Rd,Off Road,true,24,W220981,"MULTILINESTRING ((-97.22442646683088 49.81874783687146, -97.22417585247261 49.818760596185186, -97.22409667925216 49.81877702021726))"
Spur route,Near Waller Av,Off Road,true,2,W105013,"MULTILINESTRING ((-97.1580544704446 49.837611150878296, -97.158062366192 49.837608837816, -97.1580753452272 49.83760473187676))"
Multiuse path,Northeast Pioneers Greenway,Off Road,true,18,W210923,"MULTILINESTRING ((-97.06086014752867 49.937135097405374, -97.06105536835366 49.93723859898332))"
Multiuse path,Niakwa Trail,Off Road,true,127,W208080,"MULTILINESTRING ((-97.09916416024991 49.858067474227, -97.09782171146794 49.85732057122685))"
Multiuse path,Niakwa Trail,Off Road,true,18,W210570,"MULTILINESTRING ((-97.07826773645941 49.85642095077663, -97.07827783127183 49.856381248786754, -97.07828880224069 49.85634997684774, -97.07829820591657 49.85632317232757, -97.07830365575994 49.856308434447996, -97.07831113585242 49.85629507825666, -97.07832547252086 49.85628408246476, -97.07834885634334 49.85627278734832))"
Multiuse path (unpaved),,Off Road,true,14,W2782,"MULTILINESTRING ((-97.12650741458543 49.85722802809737, -97.12644859471928 49.85720479752107, -97.12632389118988 49.857201616932116))"
Spur route,Near Forks Market Rd,Off Road,true,97,W69239,"MULTILINESTRING ((-97.12867041147369 49.889852433774394, -97.12865063630092 49.88982645708349, -97.12862735747697 49.88980172180887, -97.12860075951079 49.889778425219994, -97.12857105383358 49.88975675242783, -97.128538878939 49.88973711401761, -97.12853847886846 49.88973687458701, -97.12822631975838 49.889553344030055, -97.12818525697298 49.8895195585264, -97.12814791273516 49.88948401695859, -97.12811446555934 49.889446891319714, -97.12810617733969 49.88942810626573, -97.12810034735571 49.88940893904158, -97.12809701359082 49.889389523387564, -97.12809620133179 49.88936999733634, -97.12809791516808 49.88935049408864, -97.1281021441403 49.88933115289047, -97.12810885805295 49.889312106380466, -97.12811800994436 49.88929348872546, -97.12812953629546 49.88927543022662, -97.12821794408234 49.88917034492212, -97.12821769310538 49.88915131636535, -97.12821429785616 49.88914457372893))"
Spur route,Near Forks Market Rd,Off Road,true,55,W67676,"MULTILINESTRING ((-97.12897710226798 49.88911983115873, -97.12876257591657 49.88912952166332, -97.12821429785616 49.88914457372893))"
Multiuse path,Near Waverley St,Off Road,true,4,W217087,"MULTILINESTRING ((-97.17970940441931 49.847089278486706, -97.17976645609336 49.847103721135305))"
Multiuse path,,Off Road,true,15,W208871,"MULTILINESTRING ((-97.31890152072326 49.847281814861525, -97.31891585387494 49.84715165994312))"
